review,sentiment
"Wow! Fantastic film in my opinion, i wasn't expecting it to be this good! I was captivated from start to finish- it's a very well made and educational film that really gives us a fascinating insight into the trials Darwin had to go through in order to convey his ideas to the world, chronicling his life as he writes ""Origin of the Species""; fighting both personal demons as well as the ignorant society of the time in order to do so. He struggles hard with his mind, body and soul as personal matters get to breaking point and even his family seems to slip away...whilst the rest of the world stand against him as he knows that his findings literally shake the very foundations of their lives, culture and meaning of existence. It's a subtle movie (not over-exaggerated in any way in that typical Hollywood way, this is a BBC produced British film) yet thankfully very powerful in meaning and this is thanks to the amazing well directed scenes as well as the superb acting by Bettany. Connelly acts as more of a light supporting role but I did enjoy her in this and she's as good as to be expected as always, her chemistry alongside her husband was definitely strong and endearing, you could feel the connection, and their real-life husband/wife bond definitely shines through their performances. But the star of the show is definitely Bettany and he does a brilliant job, a very touching performance- i both understood and sympathised with him as he battled his own degrading health and impending ""insanity"" to try to understand what he has uncovered and come to terms with what it all really is and means as he found his thinking contradict his feelings, and found himself losing it all including his wife who of course was a firm believer in religion and a strict Christian whilst he was in the realm of science, two worlds which could not see eye to eye, so their relationship was at stake too.<br /><br />Anyway- a really very good, well acted emotional drama and dare I say I did shed a tear during the tragic climax which was truly heartbreaking as well as beautifully poignant and moving. The film is symbolic and very intellectually artistic as well, in fact i can't wait to watch it again as there was a lot to take in first time round which i missed. Easily one of the best films i've seen this year.",1
"Yes, I know I'm one of the few people longing to trample this movie into the dust of oblivion.So let me me tell you why I feel this way. In truth,had it been advertized as a Zombie film or the like,I might have enjoyed it.But right now,I'm totally speechless.<br /><br />*SPOILER...Though I'm not sure what's to spoil* Let's start with the first HUGE flaw. If I did not know that the movie is called ""Darkness - The VAMPIRE Version"" and had I not seen some sequences where some individuals seem to be sucking blood, I would not have seen the connection with Vampires. I mean, FANGLESS???? Give me a break!!!<br /><br />Second bad point: what's with the Metal? It appears that all young people, but mainly those so-called ""vampires"", are into various kinds of Metal,judging mainly by their shirts! Don't get me wrong, I've been into the more extreme forms of music for almost 15 years, but nobody 's going to scare me by showing me some ridiculous teenagers in Iron Maiden (of all bands!!!) T-shirts running around,pretending to be Vampires! ""Pathetic"" is the only only word that I could use here.<br /><br />Third weakness: the actors. Wait a minute. WHAT actors?! You mean the director's wooden friends! Words would be a waste here.<br /><br />Yes, alright, the movie is very gory, but what difference does that make? It WOULD have been a strong point and something to enjoy if the ""briliant"" director had not chosen to create an ARTIFICIAL vampire topic in this movie. I wanted to see Vampires,but was treated to some stupid looking kids I would have loved to use my baseball bat on. The Film-makers should simply have advertized the movie saying ""cheap B-grade horror with no plot but a lot of gore"" !!!<br /><br />This movie is blasphemy against the whole concept of Vampirism. And it makes me sick.",0
"It's hard to believe that in 1997 David Duchovny was at the top of his fame, with X-Files, one of the best sci-fi series ever, being at the top of the glory. Nine years later he is almost forgotten, and his tentatives to make it on the big screen failed miserably. I cannot even explain why, he is a fair actor, but probably his moment of fame cast him in a eternal role that takes big talent to break from.<br /><br />At the same time Angelina Jolie was much less known, and she was really lucky that a film like 'Playing God' did not led her career into a dead-end. Fortunately for her, 'The Bone Collector' and 'Girl, Interrupted' were waiting beyond the corner, and when Lara Croft came, her career was launched.<br /><br />There is not too much to be told about this film. It's the only big screen film of Andy Wilson, and there must be a reason. All is banal and most of what happens on the screen expected in this story of an ex-doctor who saves the life of a shooting victim in a bar only to find himself working for the mob. The off-screen voice is especially bad, with a moralistic text that kills any shade of cinematographic experience from the film. You probably will not meet the film but in DVD rental stores, or on TV. Try to look for something better.",0
"One of the most underrated movies I've seen in a long time, Bill & Ted's Bogus Journey is the second hilarious adventure of Bill S. Preston Esq. and Ted Theodore Logan, aka Wyld Stallyns. There are two ways to look at this film: First, you see dumb dialogue, far fetched plot, juvenile idea. OR.. You see brilliantly downplayed idiots who yet again find themselves in a situation too big for their brains. Throw a Bruce Willis or a Arnold Schwarzeneggar into this plot and it becomes a big blockbuster movie. Bill and Ted go into the story with the same level of sincerity, only it's Bill and Ted. This is a tricky fence to balance on, but when you watch the movie not as a throwaway screwball comedy, but as an adventure featuring two guys who have no business being in an adventure, it becomes so much more.",1
"A long time ago, way back in the early '80s, a late-night TV show ""Fridays"" came to ABC, trying to steal the limelight away from NBC's badly-listing ""Saturday Night Live"". It didn't but it did introduce some repugnant sketches and semi-talented ""comedians"" to the world. Like Mark Blankenfield, for example.<br /><br />Which, in a roundabout way, brings us to ""Jekyll and Hyde... Together Again"". Which is repugnant in ways all its own.<br /><br />Blankenfield is about as subtle as a pew full of whoopee cushions going off after Communion. And about as tasteful, too. This is just his drugged-out druggist character he played on the ill-fated ""Fridays"" show stretched out to feature length. And if you didn't like him there, why are you reading this review?<br /><br />Any time it takes more than one or two writers to write a movie, that's a bad sign. Then when it goes for dunder-headed jokes that would get you thrown off every improv stage in the Western hemisphere and replaces gags with gross-out, things can only get worse.<br /><br />A comic take on a Robert Louis Stevenson story? About as good an idea as making a sitcom out of Poe's ""Fall of the House of Usher"".<br /><br />Aside from a few (VERY few) gags that give a slight grin, this whole film is an exercise in waste - wasted actors, wasted film, wasted opportunities.<br /><br />No wonder they showed original author Stevenson turning in his grave. What more observant a review could they give themselves?<br /><br />No stars. No, not even for Armstrong, who should have known better. <br /><br />""Hyde"" from this one.",0
"Not that I dislike childrens movies, but this was a tearjerker with few redeeming qualities. M.J. Fox was the perfect voice for Stuart and the rest of the talent was wasted. Hugh Laurie can be amazingly funny, but is not given the chance in this movie. It´s sugar-coated sugar and would hardly appeal to anyone over 7 years of age. See Toy Story, Monsters Inc. or Shrek instead. 3/10",0
"absolutely trash. i liked Halloween and from then on johnny's been in a downward spiral. this is about the pits. we get it john. pro-lifers are scary! you don't have to make a shitty film that bores the hell out of me to 'tell' me.<br /><br />The pacing is way off here. It feels like john didn't have much to work with here. to his credit it looks like he did not write this junk. There are countless times where the camera just sits and waits for the actors to look dumb or say something dumb. i love the long cut. too bad carpenter doesn't know how to employ it. he needs to bunk up with Herzog and Fassbinder 30 years ago. Please John, stop making a fool of yourself and boring me to death!",0
"I thought this movie was hysterical. I have watched it many times and recommend it highly. Mel Brooks, was excellent. The cast was fantastic..I don't understand how this movie gets a 2 out of 5 rating. I loved it.. I have seen other movies of his and they were also funny but this one really stick out in my mind because of the humor.. His I just can't say enough about this movie. I look for it to be on periodically but it never on enough for me. The people playing the homeless people were by comparison up to the funniest standards also. Please put this movie on more often. I can't see it enough..Leslie Ann Warren also was another favorite of mine, ever since Cinderella. I always thought that she wasn't really funny but loved her acting. In this movie she was very funny..and her and Mel did a great job together. They should put more of his movies on TV.",1
"With no fault to the actors (they all put on great performances), the overall story was not very well executed. The movie opens with a great zinger: a crazy old guy forces a young Aborigine girl's car off the road. But then, we're forced to endure 40 minutes of character development with an entirely new group of characters ... and we don't know why until the 40 minutes are up. It turns out that they are the ones who eventually discover the girl's body ... and the story progresses from there.<br /><br />While the story does pick up at that point, it really goes nowhere. After 2 hours, I asked myself: was there a point to this, or was it just to see the characters struggle with accusations of racism and stupidity of how they handled the discovery? The story was ultimately unsatisfying and felt unfinished. While it is well acted, there's not a strong enough backbone in the film to warrant recommending it.",0
"Looking for something shocking? Okay fine... the imagery is that. That's about it. This film attempts to make deep connections with the audience through various symbolism and just ends up being annoying. I am not quite sure if the director's purpose was to truly portray some sort of deep message to his audience, or if he just sought to shock the hell out of them with gore, sex and violence. I am thinking that it was probably the first...but in the failed attempt..it simply ended up to be a piece of artsy garbage with lots of blood, some obnoxious characters, and an over reliance on religious symbolism. If you're looking for some independent film to critique for its attempted use of metaphor...have at it. If you are looking for a gore flick that will make you queasy and uncomfortable... here you go... If you are looking for a film that will irritate you to no end because you realize that in the end, the message was stupid...the movie was stupid... and you will never get those minutes of your life back..this is surely the film for you!",0
"First off, I refuse to even consider this piece of work a Music video... I consider it a short film that uses excerpts of the song ""Thriller"" in its soundtrack. To me a music video must be no longer than the song itself, and the song must play the entire length of the video. Calling this a music video is like calling The Great Gatsby a poem. On top of this... let's face it... ""thriller"" is a boring 14 minutes, including the extremely dated werewolf transformation, the mindless Vincent Price poem (just because VP recites it doesn't mean it's not lame), and the least threatening zombies I have ever seen. Sure, this was certainly a cultural phenomenon, but don't forget, this also happened at the same time the A-Team was the #1 show on TV, so lets not give the culture too much credit on that one... One last point on this film's impact on the media on music videos... what exactly did this add to the equation that ""Billie Jean"" and ""Beat It"" didn't already add? From what I can tell, it only added the practice of stopping the song for some dialog, or a superfluous dance scene... so you could say that all this video really did was give Puffy the inspiration to make more annoying music videos... Not quite my definition of great",0
"Given the chance to write, direct and star in my own movie, I would probably choose something about robot women with guns. Anthony Hopkins, however, decided to make possibly the strangest movie anyone has ever seen. ""Slipstream"" is a movie that is so strange that even David Lynch would probably look at the person next to him and say 'What's going on?'.<br /><br />This is a movie where, in one scene, a man crosses the road towards a yellow car facing to the right which suddenly changes into a pink car facing to the left. This is a movie where two characters have a conversation interspersed with shots of random people laughing and insects climbing up walls. This is a movie where a man starts talking about ""Invasion Of The Bodysnatchers"" only for the actor of that particular movie to suddenly show up as himself (and then disappear into thin air). <br /><br />This is a movie that decides to throw the need for a coherent plot straight out of the window and use fifteen different edits whilst doing so, as well as changing from black and white to colour for seemingly no reason at all.<br /><br />I must, however, commend Mr Hopkins for his choice of actors in this movie (some of whom portray multiple characters). All of those involved throw themselves into their roles, even if they probably have no idea what they're actually doing. My favourite here was Christian Slater's thug in a hat who was impressively menacing whilst babbling nonsense and singing the American national anthem. <br /><br />Anthony Hopkins has been quoted saying that he did this movie as a joke and that's possibly the best way to sum up ""Slipstream"". It's a joke on the audience. You'll watch it from beginning to end, trying to understand what is going on and hoping that the answer will come, only to discover that the answer never actually does. What the punchline to this particular joke is, only Anthony Hopkins will ever know.<br /><br />I mentioned David Lynch earlier and I'm a big fan of that particular director. I would guess that Anthony Hopkins shares my love for the likes of ""Twin Peaks"", ""Blue Velvet"" and ""Lost Highway"". However, ""Slipstream"" isn't as satisfying as any of the movies of Lynch despite imitating many of his techniques (although I was surprised to discover that nobody talks backwards in ""Slipstream""). It's far too chaotic and random - as another reviewer here pointed out, it's the movie version of Alzheimer's disease. No doubt there are a small number out there who are able to watch this and draw something from it. Unfortunately for the rest of us, ""Slipstream"" quickly becomes an annoying and confusing experience that was only made due to Hopkins' involvement.<br /><br />Watch at your own risk.",0
"FORGET CREDIBILITY<br /><br />You must not expect credibility with action movies where the superhero has to perform an endless string of unbelievable feats, being trodden upon in the process but recovering at lightning speed, and transforming innocuous gadgets in lethal weapons... especially when Renny Harlin is directing.<br /><br />""CLIFFHANGER "" is no exception. But the movie has numerous assets : breathtaking scenery gorgeously photographed, stunning special and visual effects ( the first five minutes are gripping and give the tone of the film ), excellent musical score, welcome attempts at levity to relieve some of the tension, and a solid cast : two heroes ( Stallone, star and cowriter, has the lion's share of the footage, but the excellent Michael Rooker more than stands his ground ), a charming heroin ( Janine Turner ), and one of the most darstardy bunch of villains ever ( priceless John Lithgow and deceivingly feminine Caroline Goodall, but also Rex Linn - in a longer than usual part and who makes the most of it, Leon, Craig Fairbrass ) Good, solid entertainment then , if no credibility.As Roger Ebert wrote ( about another film )""It's the kind of movie you can sit back and enjoy as long as you don't make the mistake of thinking too much.""<br /><br />",1
"Susan Sarandon and Natalie Portman play Adele and Ann August, a single mother who's the working definition of the word ""dreamer"" and her solemn, pragmatic daughter. Adele, wanting to make a fresh start in a big city, moves them from Wisconsin to California.<br /><br />Decent, if not exceptional or particularly memorable, with some serious and sad moments. It pushes some emotional buttons, that's for sure. Best thing it offers is a solid cast, and Sarandon and Portman are quite good in the leads - even if their characters are one-dimensional at times.<br /><br />Could be better, could be worse.<br /><br />I gave this one seven out of ten.",1
This film makes Clooney. All his films combined before this have all been based on the same character. This film he transcends his previous body of work and proves his capability as a top notch actor. The soundtrack defeats most one-handedly. The brothers have truly made a classic. One to own and watch repeatedly.,1
"I think the movie was one sided I watched it recently and find the documentary typical of western movie makers that was biased without substance. The fact is prostitution do exist everywhere in the world not in Tanzania alone and not because of this fish business, there prostitutes were there way before the Russian and other business people arrived in Mwanza. Poverty is indeed endemic in Africa let alone Tanzania and this is not because of fish fillet business, in fact the fish industry has helped millions to support their families on their daily life. This movie just tarnish the good image of this peace loving country. As for the arms trade the film could not substantiate if there is any truth in that indeed looking critically at the films one is doubting the authenticity of the film maker, it seems that their trying to prove their point by using a few characters which can be done for anything really. Yes Tanzania is a poor country yes there are prostitutes and street children but they are not the product this business, it is just a common scenario in most poor countries indeed the world over even in the western world...What a load of rubbish.<br /><br />The pilot themselves are talking of sending weapons to Angola which is more than 2000km south of Tanzania and the war was in DRC also miles away from Mwanza, the director could not give evidence how these weapons were transported from Mwanza to DRC!<br /><br />In short the films lacks focus and respectability, it is quite easy to find the character anywhere in Africa and has nothing to do Darwin's nightmare or fish fillet...What a load of rubbish!<br /><br />The truth is the Nile perch has not decimated all other species in the lake contrary to what the movie portrays and also less than 25% of all catches from lake Victoria are exported the rest is consumed locally so lets get that one right.",0
"All the world said that the film Tashan would be a good movie with great pleasure, but this is not the case. Vijay Krishna Acharya made a serious mistake to take as an actress Kareena Kapoor. She was unbearable throughout the film. Her tom-boy look does not really goes well. Even the film the story of the film is not making sense at all. Everyone said that the Quetin Taratino of India is Vijay but its not at all Quetin. The talent Anil Kapoor was involved in this stupid movie. Anil is an actor of large caliber and this film is not. Akshay Kumar has also been a victim of this film as all is Saif. The Style and the Phoormola is not really good in this film i was disappointed",0
"<br /><br />An old man works as a janitor in a mental hospital to be close to his wife who is a patient there and to try to get her out.<br /><br />This is surely one of the most forgotten masterpieces of the silent era and an oddity in the history of Japanese cinema. Long thought lost, a print was found in the 70s and a music soundtrack added to it, which fits perfectly with the images. It might have been influenced by cabinet of doctor Caligary (director Kinugasa claimed he never saw the German film). However it surpasses it in style and in its more convincing (and chilly) portray of the inner mental state of the inmates in the asylum. To achieve this, the film makes use of every single film technique available at the time: multiple exposures and out of focus subjective point of view, tilted camera angles, fast and slow motion, expressionist lighting and superimpositions among others. It is also a very complicated film to follow, as it has not got intertitles.<br /><br />The film opens with a montage of shots of rain hitting the windows of the hospital, wind shaking trees and of thunder. The unsettling weather metaphors the mental condition of the patients and introduces one of the them: a former dancer. The combination of sounds produced by rain, wind and thunder serves as the music that incites the dancer to get into a frantic, almost hypnotic dance. In another sequence involving the same patient engaged in another frenzied dance, she is being watched by other inmates. Multiple exposures of the dancer represent the patients' point of view and their confused ""view"" of the world.<br /><br />These are just two examples from this amazing film trying to represent the patients' subconscious and view of the ""sane"" world.<br /><br />In three words A MUST SEE.",1
"This is a case of taking a fairy tale too far. The Enchanted Cottage delivers Dorothy McGuire as a ""terrible ugly"" spinster and Robert Young as a disfigured pilot. Long story short: Scarface marries Spinster, after which their love transforms them, miraculously (lighting, cosmetics and the removal of fake scars), into beautiful peoplea magical change that they attribute to the enchantment of living in a seaside cottage that has been the abode of generations of honeymooners.<br /><br />If the story stopped there, fine; it would be a fable with a proverbial message: beauty is in the eye of the beholder. But it lurches ahead, reaching for reality. When Mr. and Mrs. Scarface greet their public, it comes as a painful shock to them that they're still homely. You see, they only appear beautiful to each other a situation which the audience is well prepared for because all the secondary characters have been sermonizing that ill-favored people really need to lower their expectations, and find other ways to be happy. You know. Take up hobbies. Spinster does woodcuts, for instance. Scarface considers collecting driftwood.<br /><br />The original playwright (Arthur Wing Pinero) and the filmmakers have zero faith in human nature. Their message is: You're either ugly or pretty, and no pretty person would ever love an ugly one. What's even worse, ugly people evidently need to imagine their lover as pretty. Reality just won't do.<br /><br />One wonders what Elaine Mason saw every day when she looked at her husband, Stephen Hawking.",0
"An utterly beautiful film, one of a handful of I saw when young that entranced me then and still do, in Thief's case the impression actually seems to get better with the passing of time. By the '90's my daughter and I had seen it many times on TV but still went to the pictures when it came to the local art-house cinema  when it had finished we came out starry eyed with heads full of poetry and Miklos Rozsa's stirring music wishing it could have lasted a couple of hours longer and thinking what a beautiful world it suddenly was again.<br /><br />Idealistic Prince Ahmad wants to slum it amongst his people for a while to check things out, but evil Vizier Jaffar takes his chance to imprison him and seize the throne. After escaping with a little thief played by Sabu, Ahmad spots a Princess and they fall blindingly in love  along the way they have many adventures (although apparently not enough for Sabu!) and Love not only conquers but annihilates everything. The special effects must have been mesmerising in 1940, but Time has taken its toll and lessened their impact especially since digital cartoonery has taken over even live action  but they still hold up well compared against films like Superman from 40 years later. Anyway, if I'm requested to suspend disbelief in gargantuan guffawing genies, flying horses and carpets I also suspend disbelief in perfect special effects! Favourite bits: the dreamy scene in the sunlit garden when Ahmad reveals himself and Adelaide Hall's suitably romantic song; the stunning colours in the tent in the Land Of Legend  in fact, the stunning colours throughout; Sabu and Rozsa's triumphant but still wistful finale. Conrad Veidt played the baddie in two of the most incredible movie romances ever, this and Casablanca, and then died. John Justin and June Duprez were great in the leading roles of lovers, both of them slightly and refreshingly stilted, but the parts didn't call for a huge range of emotions: only pure love mattered.<br /><br />There's a couple of mildly violent images in it, but rest assured this is a glorious feelgood experience with a 100% positive message, it's only a pity that nowadays little kids don't watch this instead of the porn they prefer. One of my Top 10 film favourites, I can't recommend this too much  may it be shown to the end of Time.",1
"Kurosawa weaves a tale that has a cast of characters as diverse as any Shakespearean drama, and the acting is true to the story, with each star playing their role as a part of the larger tale. It is touching, funny and intriguing in all parts. The character development is near perfect, the cinematography is vivid and engaging, and the story draws you in.<br /><br />I would like to say that the ""Samurai freaks"" and those obsessed with late 18th and 19th century dynastic tales of Japan may snub this film as not Kurosawa's best work. Perhaps not his best, but even at his worst, Kurosawa is better than many of the best. This story is so based in elevating the mundane lives of ordinary people in a time of great change, that it is timeless, despite being set in the not-so-distant past.<br /><br />I would heartily recommend this to any movie buff, and especially to those who are likely to continue on to read the novel on which the film is based.",1
"On September 11th, 2001, millions were killed; but 2,819 lives ended in an especially gruesome manner. They were the victim of a plane hijacking by extremists whose sole mission was to destroy buildings, but more importantly, people. This film takes an in-depth look at four people whose lives were cut short by this disastrous event and one man whose life was shattered by the loss of their lives.<br /><br />Charlie Fineman (played by Adam Sandler), a former dentist living in New York, loses his wife and three children on September 11th as they were on their way to Los Angeles. Emotionally annihilated by the events, he eventually loses touch with everyone who reminds him of his former life; including his in-laws and his best friend (played, respectively, by Robert Klein, Melinda Dillon, and Mike Bender). He goes into completely denial and does his best to forget about his former life. This continues until he runs into his old college friend Alan Johnson (played by Don Cheadle) who Fineman doesn't seem to remember. The two begin to catch up, but Fineman believes Johnson was sent by people from his former life to persuade him into finding help. Slowly, but surely, Fineman regains his trust for Johnson.<br /><br />While all this is happening, Alan Johnson's life is going down the wrong path. He is a self man (dentist) who helps start a dental practice. One day, a patient of his named Donna Remar (played by Saffron Burrows) attempts to make a move on him, telling him that she would like to perform oral sex for him. This is an unwelcome surprise to Dr. Johnson since he is a married man with two children. As he is coming home from work on a particular workday, he sees his old friend (Fineman) and tries to flag him down. He is unsuccessful, but he gets another opportunity and persuades Fineman to get a come of coffee with him to catch up, despite the fact that Fineman doesn't know who he is.<br /><br />One of the most interesting things about this movie is its use of music as a motif. One of Fineman's physiological crutches is music, particularly Springsteen and other classic rock artists. When Fineman is asked to open up about his past or to talk about things he finds unpleasant, he puts on his earphones and drowns out the world with things his music.<br /><br />When the film was over, I had me thinking: how would I cope with the loss of my family? How would I deal with such a tragic events. It's something we don't really think about too often. We always think they'll be there and we often take them for granted, whether we intend to or not. We usually realize how important they are when it's too late; and a blow like that can destroy someone physically, emotionally, and physiologically. I really don't know how I would be able to deal with something like that. Would I face the problem head on, cope, and move on with my life or would I just put my headphones on and block the world?",1
